strategy,snippet_id,raw_response,extracted,parse_success,cost_usd,latency_s,error,accuracy,llm_judge_score,judge_reason,judge_cost_usd
zero_shot,j01,,,False,0.0,1.9304000034026103e-05,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j02,,,False,0.0,7.813999900463386e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j03,,,False,0.0,4.2309998207201716e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j04,,,False,0.0,2.8189999738970073e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j05,,,False,0.0,2.6449999950273195e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j06,,,False,0.0,2.0899999526591273e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j07,,,False,0.0,2.0690001747425413e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j08,,,False,0.0,2.336999841645593e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j09,,,False,0.0,2.3380000584438676e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
zero_shot,j10,,,False,0.0,2.643000016178121e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j01,,,False,0.0,4.439999884198187e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j02,,,False,0.0,2.2950000584387453e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j03,,,False,0.0,2.1109999579493888e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j04,,,False,0.0,2.1600001218757825e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j05,,,False,0.0,1.9410001641517738e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j06,,,False,0.0,2.173999973820173e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j07,,,False,0.0,2.6059999527205946e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j08,,,False,0.0,2.2090000584285008e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j09,,,False,0.0,2.026000174737419e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
few_shot,j10,,,False,0.0,2.1500000002561137e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j01,,,False,0.0,1.964000148291234e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j02,,,False,0.0,2.0050001694471575e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j03,,,False,0.0,2.068000185317942e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j04,,,False,0.0,2.1329999526642496e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j05,,,False,0.0,2.057000074273674e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j06,,,False,0.0,2.1490000108315144e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j07,,,False,0.0,2.0890001906082034e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j08,,,False,0.0,1.8989999261975754e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j09,,,False,0.0,2.068999947368866e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
structured,j10,,,False,0.0,4.4660000639851205e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
cot,j01,,,False,0.0,2.18700006371364e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
cot,j02,,,False,0.0,1.8939999790745787e-06,AttributeError: 'cached_property' object has no attribute 'completions',0,1,Judge error: AttributeError,0.0
